State,City,Case_Type,Resource_Name,Resource_Type,Contact
Andhra Pradesh,Guntur,Child Abuse,District Legal Services Authority - Guntur 87,District Legal Services Authority,+91-8214642551
Gujarat,Ahmedabad,Domestic Violence,Childline - Ahmedabad 48,Childline,+91-8470174827
Maharashtra,Mumbai,Domestic Violence,Elder Help NGO - Mumbai 7,Elder Help NGO,+91-8738929975
Madhya Pradesh,Jabalpur,Caste Discrimination,Legal Aid NGO - Jabalpur 60,Legal Aid NGO,+91-9863962864
Assam,Guwahati,Senior Citizen Abuse,District Legal Services Authority - Guwahati 99,District Legal Services Authority,+91-8591083897
Gujarat,Ahmedabad,Senior Citizen Abuse,Legal Aid NGO - Ahmedabad 49,Legal Aid NGO,+91-8624177140
Gujarat,Vadodara,Caste Discrimination,Cyber Helpline - Vadodara 4,Cyber Helpline,+91-8712852828
Punjab,Chandigarh,Senior Citizen Abuse,Elder Help NGO - Chandigarh 29,Elder Help NGO,+91-8102608468
Jammu & Kashmir,Srinagar,Sexual Harassment,Childline - Srinagar 91,Childline,+91-7366048743
Madhya Pradesh,Jabalpur,Cyber Crime,Cyber Helpline - Jabalpur 59,Cyber Helpline,+91-9181663311
Jammu & Kashmir,Srinagar,Domestic Violence,Legal Aid NGO - Srinagar 47,Legal Aid NGO,+91-8386428083
Bihar,Gaya,Child Abuse,Women's Helpline - Gaya 19,Women's Helpline,+91-9248468075
Maharashtra,Pune,Caste Discrimination,Cyber Helpline - Pune 10,Cyber Helpline,+91-7022212985
Andhra Pradesh,Visakhapatnam,Dowry,Legal Clinic - Visakhapatnam 63,Legal Clinic,+91-7509399941
West Bengal,Siliguri,Child Abuse,Cyber Helpline - Siliguri 25,Cyber Helpline,+91-8454982554
Punjab,Chandigarh,Child Abuse,Elder Help NGO - Chandigarh 53,Elder Help NGO,+91-7981068430
Bihar,Gaya,Child Abuse,Legal Clinic - Gaya 96,Legal Clinic,+91-9984006042
Delhi,New Delhi,Senior Citizen Abuse,Legal Clinic - New Delhi 36,Legal Clinic,+91-9050328332
Telangana,Warangal,Senior Citizen Abuse,Cyber Helpline - Warangal 58,Cyber Helpline,+91-9693631245
Haryana,Faridabad,Domestic Violence,Childline - Faridabad 87,Childline,+91-9923371380
Gujarat,Ahmedabad,Domestic Violence,Legal Clinic - Ahmedabad 6,Legal Clinic,+91-8801023817
Chhattisgarh,Raipur,Property Dispute,District Legal Services Authority - Raipur 68,District Legal Services Authority,+91-9653088992
Punjab,Ludhiana,Senior Citizen Abuse,Legal Aid NGO - Ludhiana 53,Legal Aid NGO,+91-9945485235
Chhattisgarh,Bilaspur,Domestic Violence,Legal Aid NGO - Bilaspur 88,Legal Aid NGO,+91-7732030868
Uttar Pradesh,Kanpur,Senior Citizen Abuse,Legal Clinic - Kanpur 28,Legal Clinic,+91-7500947678
Gujarat,Vadodara,Sexual Harassment,Legal Clinic - Vadodara 97,Legal Clinic,+91-9800375086
West Bengal,Howrah,Domestic Violence,Elder Help NGO - Howrah 68,Elder Help NGO,+91-8288411782
Maharashtra,Mumbai,Sexual Harassment,Cyber Helpline - Mumbai 48,Cyber Helpline,+91-8555675231
Jammu & Kashmir,Jammu,Property Dispute,Women's Helpline - Jammu 58,Women's Helpline,+91-9981543386
Assam,Dibrugarh,Child Abuse,District Legal Services Authority - Dibrugarh 58,District Legal Services Authority,+91-8719519216
Andhra Pradesh,Guntur,Child Abuse,Cyber Helpline - Guntur 41,Cyber Helpline,+91-9784121600
West Bengal,Kolkata,Child Abuse,Legal Aid NGO - Kolkata 19,Legal Aid NGO,+91-8997705652
Rajasthan,Jodhpur,Senior Citizen Abuse,Childline - Jodhpur 75,Childline,+91-7356761278
Chhattisgarh,Durg,Domestic Violence,Elder Help NGO - Durg 70,Elder Help NGO,+91-8562376399
Uttar Pradesh,Varanasi,Caste Discrimination,Legal Clinic - Varanasi 18,Legal Clinic,+91-7739373085
Assam,Guwahati,Cyber Crime,Childline - Guwahati 81,Childline,+91-8708639387
Assam,Dibrugarh,Domestic Violence,Legal Aid NGO - Dibrugarh 8,Legal Aid NGO,+91-8513085412
Odisha,Bhubaneswar,Sexual Harassment,Legal Clinic - Bhubaneswar 53,Legal Clinic,+91-8280362348
Tamil Nadu,Madurai,Child Abuse,Women's Helpline - Madurai 1,Women's Helpline,+91-7490961199
Kerala,Kochi,Sexual Harassment,Childline - Kochi 4,Childline,+91-9406006654
Andhra Pradesh,Visakhapatnam,Caste Discrimination,Legal Clinic - Visakhapatnam 58,Legal Clinic,+91-7783545916
Uttar Pradesh,Varanasi,Senior Citizen Abuse,District Legal Services Authority - Varanasi 57,District Legal Services Authority,+91-9709272662
Bihar,Patna,Sexual Harassment,Legal Clinic - Patna 78,Legal Clinic,+91-9645873482
Jammu & Kashmir,Jammu,Cyber Crime,Childline - Jammu 38,Childline,+91-9394333303
Jammu & Kashmir,Srinagar,Cyber Crime,District Legal Services Authority - Srinagar 36,District Legal Services Authority,+91-9124696633
Haryana,Faridabad,Cyber Crime,District Legal Services Authority - Faridabad 86,District Legal Services Authority,+91-7891197822
Jharkhand,Dhanbad,Cyber Crime,Childline - Dhanbad 43,Childline,+91-7117188345
Odisha,Bhubaneswar,Child Abuse,Women's Helpline - Bhubaneswar 24,Women's Helpline,+91-8001346276
Delhi,New Delhi,Domestic Violence,Cyber Helpline - New Delhi 9,Cyber Helpline,+91-7512317965
Jharkhand,Dhanbad,Property Dispute,Women's Helpline - Dhanbad 83,Women's Helpline,+91-7622950007
Uttar Pradesh,Lucknow,Senior Citizen Abuse,District Legal Services Authority - Lucknow 90,District Legal Services Authority,+91-8223486446
Chhattisgarh,Durg,Dowry,Cyber Helpline - Durg 54,Cyber Helpline,+91-9314625137
Gujarat,Surat,Domestic Violence,District Legal Services Authority - Surat 21,District Legal Services Authority,+91-9345118923
Karnataka,Mangalore,Cyber Crime,District Legal Services Authority - Mangalore 6,District Legal Services Authority,+91-9512953661
Jharkhand,Ranchi,Property Dispute,Childline - Ranchi 85,Childline,+91-8093689233
Rajasthan,Jaipur,Caste Discrimination,Elder Help NGO - Jaipur 43,Elder Help NGO,+91-8000569013
Haryana,Panipat,Child Abuse,Legal Clinic - Panipat 30,Legal Clinic,+91-7205910436
Rajasthan,Jaipur,Sexual Harassment,Women's Helpline - Jaipur 77,Women's Helpline,+91-9234647380
Karnataka,Bengaluru,Dowry,Women's Helpline - Bengaluru 63,Women's Helpline,+91-9092785311
Rajasthan,Jodhpur,Sexual Harassment,Legal Clinic - Jodhpur 16,Legal Clinic,+91-7647306312
Uttar Pradesh,Varanasi,Senior Citizen Abuse,Legal Clinic - Varanasi 49,Legal Clinic,+91-9861556151
Maharashtra,Mumbai,Caste Discrimination,District Legal Services Authority - Mumbai 50,District Legal Services Authority,+91-8761213582
Assam,Guwahati,Child Abuse,Cyber Helpline - Guwahati 32,Cyber Helpline,+91-7972006358
Uttar Pradesh,Lucknow,Cyber Crime,Legal Aid NGO - Lucknow 92,Legal Aid NGO,+91-7502612928
Maharashtra,Nagpur,Caste Discrimination,Legal Clinic - Nagpur 77,Legal Clinic,+91-8838997733
Karnataka,Mangalore,Sexual Harassment,District Legal Services Authority - Mangalore 96,District Legal Services Authority,+91-7498415244
West Bengal,Howrah,Domestic Violence,Women's Helpline - Howrah 48,Women's Helpline,+91-9172783922
Maharashtra,Pune,Senior Citizen Abuse,District Legal Services Authority - Pune 86,District Legal Services Authority,+91-8627463248
Uttar Pradesh,Varanasi,Domestic Violence,Childline - Varanasi 33,Childline,+91-8994250999
Assam,Guwahati,Caste Discrimination,Legal Aid NGO - Guwahati 41,Legal Aid NGO,+91-7544817072
Karnataka,Mangalore,Domestic Violence,Legal Aid NGO - Mangalore 88,Legal Aid NGO,+91-8615386258
Tamil Nadu,Madurai,Senior Citizen Abuse,Elder Help NGO - Madurai 40,Elder Help NGO,+91-8272285834
Karnataka,Bengaluru,Child Abuse,Legal Aid NGO - Bengaluru 39,Legal Aid NGO,+91-8110205840
Andhra Pradesh,Vijayawada,Sexual Harassment,Legal Clinic - Vijayawada 7,Legal Clinic,+91-9836105131
Rajasthan,Jaipur,Property Dispute,Legal Aid NGO - Jaipur 93,Legal Aid NGO,+91-9028051351
Jharkhand,Jamshedpur,Senior Citizen Abuse,Childline - Jamshedpur 44,Childline,+91-7843465514
West Bengal,Siliguri,Caste Discrimination,Women's Helpline - Siliguri 73,Women's Helpline,+91-8979042302
Jammu & Kashmir,Srinagar,Cyber Crime,Cyber Helpline - Srinagar 91,Cyber Helpline,+91-9908071848
Delhi,New Delhi,Senior Citizen Abuse,Legal Aid NGO - New Delhi 39,Legal Aid NGO,+91-9563506563
Odisha,Rourkela,Child Abuse,Cyber Helpline - Rourkela 90,Cyber Helpline,+91-7815625979
Jharkhand,Dhanbad,Dowry,Elder Help NGO - Dhanbad 58,Elder Help NGO,+91-8664978637
Punjab,Ludhiana,Caste Discrimination,Childline - Ludhiana 90,Childline,+91-8911103520
Madhya Pradesh,Indore,Domestic Violence,Cyber Helpline - Indore 54,Cyber Helpline,+91-8653233332
West Bengal,Kolkata,Domestic Violence,Legal Aid NGO - Kolkata 30,Legal Aid NGO,+91-8686821763
Maharashtra,Nagpur,Senior Citizen Abuse,Cyber Helpline - Nagpur 61,Cyber Helpline,+91-7449415265
Odisha,Bhubaneswar,Senior Citizen Abuse,District Legal Services Authority - Bhubaneswar 58,District Legal Services Authority,+91-9679430301
Odisha,Bhubaneswar,Sexual Harassment,Women's Helpline - Bhubaneswar 36,Women's Helpline,+91-8964745956
Madhya Pradesh,Jabalpur,Senior Citizen Abuse,Legal Aid NGO - Jabalpur 93,Legal Aid NGO,+91-7661020630
Jharkhand,Jamshedpur,Dowry,Elder Help NGO - Jamshedpur 3,Elder Help NGO,+91-8915025281
Jammu & Kashmir,Srinagar,Property Dispute,Women's Helpline - Srinagar 71,Women's Helpline,+91-7987780443
Rajasthan,Jaipur,Senior Citizen Abuse,Elder Help NGO - Jaipur 24,Elder Help NGO,+91-8629022278
Punjab,Ludhiana,Dowry,Cyber Helpline - Ludhiana 20,Cyber Helpline,+91-9298218407
Karnataka,Mysore,Dowry,Elder Help NGO - Mysore 69,Elder Help NGO,+91-8230736291
Chhattisgarh,Bilaspur,Dowry,Legal Aid NGO - Bilaspur 47,Legal Aid NGO,+91-7497544353
Jharkhand,Ranchi,Property Dispute,District Legal Services Authority - Ranchi 10,District Legal Services Authority,+91-8353042188
Punjab,Amritsar,Domestic Violence,Women's Helpline - Amritsar 88,Women's Helpline,+91-7176283737
West Bengal,Siliguri,Domestic Violence,Legal Aid NGO - Siliguri 73,Legal Aid NGO,+91-8991631184
Assam,Guwahati,Sexual Harassment,Legal Clinic - Guwahati 84,Legal Clinic,+91-8833353904
Tamil Nadu,Madurai,Cyber Crime,Women's Helpline - Madurai 61,Women's Helpline,+91-9822990033
Jharkhand,Jamshedpur,Sexual Harassment,Women's Helpline - Jamshedpur 76,Women's Helpline,+91-9002527823
Kerala,Kozhikode,Domestic Violence,Elder Help NGO - Kozhikode 45,Elder Help NGO,+91-7984687150
Jharkhand,Ranchi,Domestic Violence,Cyber Helpline - Ranchi 44,Cyber Helpline,+91-7468621400
Jharkhand,Jamshedpur,Caste Discrimination,Cyber Helpline - Jamshedpur 52,Cyber Helpline,+91-7517470599
Jharkhand,Dhanbad,Property Dispute,Cyber Helpline - Dhanbad 15,Cyber Helpline,+91-8215361014
Chhattisgarh,Durg,Dowry,Elder Help NGO - Durg 2,Elder Help NGO,+91-8557229038
Bihar,Patna,Cyber Crime,Elder Help NGO - Patna 99,Elder Help NGO,+91-9341860116
Assam,Guwahati,Cyber Crime,District Legal Services Authority - Guwahati 74,District Legal Services Authority,+91-7155714230
Bihar,Patna,Property Dispute,Women's Helpline - Patna 79,Women's Helpline,+91-9979092136
Madhya Pradesh,Jabalpur,Child Abuse,Legal Clinic - Jabalpur 84,Legal Clinic,+91-9192373008
Maharashtra,Pune,Sexual Harassment,Legal Clinic - Pune 50,Legal Clinic,+91-8616010381
West Bengal,Siliguri,Caste Discrimination,Childline - Siliguri 25,Childline,+91-9946049384
Uttar Pradesh,Varanasi,Cyber Crime,Elder Help NGO - Varanasi 37,Elder Help NGO,+91-7391725797
Punjab,Chandigarh,Domestic Violence,Cyber Helpline - Chandigarh 45,Cyber Helpline,+91-8636653762
Jammu & Kashmir,Jammu,Dowry,Women's Helpline - Jammu 72,Women's Helpline,+91-7698289230
Telangana,Nizamabad,Property Dispute,Cyber Helpline - Nizamabad 70,Cyber Helpline,+91-7064590076
Haryana,Gurgaon,Domestic Violence,Elder Help NGO - Gurgaon 41,Elder Help NGO,+91-8494790761
Tamil Nadu,Coimbatore,Cyber Crime,Childline - Coimbatore 29,Childline,+91-9639317290
West Bengal,Kolkata,Senior Citizen Abuse,Cyber Helpline - Kolkata 15,Cyber Helpline,+91-8579677801
Jammu & Kashmir,Srinagar,Senior Citizen Abuse,Women's Helpline - Srinagar 27,Women's Helpline,+91-7314365943
Tamil Nadu,Chennai,Domestic Violence,Women's Helpline - Chennai 85,Women's Helpline,+91-9667910509
Jammu & Kashmir,Jammu,Dowry,Legal Aid NGO - Jammu 55,Legal Aid NGO,+91-9121125066
West Bengal,Howrah,Cyber Crime,Elder Help NGO - Howrah 46,Elder Help NGO,+91-9898422739
Rajasthan,Jodhpur,Property Dispute,Cyber Helpline - Jodhpur 73,Cyber Helpline,+91-9357058662
Bihar,Gaya,Dowry,Women's Helpline - Gaya 1,Women's Helpline,+91-8179636092
Karnataka,Bengaluru,Sexual Harassment,District Legal Services Authority - Bengaluru 85,District Legal Services Authority,+91-8638111396
Karnataka,Bengaluru,Domestic Violence,Cyber Helpline - Bengaluru 29,Cyber Helpline,+91-7913087192
Haryana,Gurgaon,Caste Discrimination,Legal Aid NGO - Gurgaon 10,Legal Aid NGO,+91-9715467930
Assam,Silchar,Domestic Violence,Legal Aid NGO - Silchar 3,Legal Aid NGO,+91-8988750862
Karnataka,Bengaluru,Sexual Harassment,Legal Aid NGO - Bengaluru 25,Legal Aid NGO,+91-7910204811
Jammu & Kashmir,Srinagar,Dowry,Women's Helpline - Srinagar 96,Women's Helpline,+91-7610536846
Jharkhand,Ranchi,Domestic Violence,Childline - Ranchi 95,Childline,+91-8012698473
Rajasthan,Udaipur,Sexual Harassment,District Legal Services Authority - Udaipur 28,District Legal Services Authority,+91-9696478733
Andhra Pradesh,Vijayawada,Caste Discrimination,Women's Helpline - Vijayawada 53,Women's Helpline,+91-9022043538
Uttar Pradesh,Varanasi,Senior Citizen Abuse,Legal Clinic - Varanasi 43,Legal Clinic,+91-7372825761
Uttar Pradesh,Kanpur,Cyber Crime,Cyber Helpline - Kanpur 8,Cyber Helpline,+91-7140033428
Andhra Pradesh,Visakhapatnam,Child Abuse,Cyber Helpline - Visakhapatnam 54,Cyber Helpline,+91-7754733361
Chhattisgarh,Bilaspur,Caste Discrimination,Cyber Helpline - Bilaspur 94,Cyber Helpline,+91-9142429650
Punjab,Ludhiana,Property Dispute,Childline - Ludhiana 15,Childline,+91-7103566946
Madhya Pradesh,Indore,Cyber Crime,Legal Aid NGO - Indore 59,Legal Aid NGO,+91-8806982679
Telangana,Warangal,Caste Discrimination,Elder Help NGO - Warangal 7,Elder Help NGO,+91-9640190826
Rajasthan,Jaipur,Child Abuse,Women's Helpline - Jaipur 72,Women's Helpline,+91-8869191057
Karnataka,Bengaluru,Dowry,Cyber Helpline - Bengaluru 92,Cyber Helpline,+91-8363704976
Rajasthan,Jaipur,Caste Discrimination,Elder Help NGO - Jaipur 50,Elder Help NGO,+91-7163809128
Kerala,Thiruvananthapuram,Child Abuse,Cyber Helpline - Thiruvananthapuram 67,Cyber Helpline,+91-7430036939
West Bengal,Howrah,Caste Discrimination,Cyber Helpline - Howrah 49,Cyber Helpline,+91-7980902853
Punjab,Amritsar,Domestic Violence,Childline - Amritsar 90,Childline,+91-8916017700
Telangana,Hyderabad,Dowry,Childline - Hyderabad 94,Childline,+91-9613355777
Andhra Pradesh,Guntur,Child Abuse,District Legal Services Authority - Guntur 35,District Legal Services Authority,+91-8111888483
Gujarat,Ahmedabad,Domestic Violence,Women's Helpline - Ahmedabad 94,Women's Helpline,+91-9625980183
Kerala,Kochi,Domestic Violence,Legal Clinic - Kochi 14,Legal Clinic,+91-9876882233
Bihar,Gaya,Cyber Crime,Childline - Gaya 12,Childline,+91-7055995690
Telangana,Nizamabad,Cyber Crime,Legal Aid NGO - Nizamabad 10,Legal Aid NGO,+91-8367606915
Odisha,Cuttack,Caste Discrimination,Legal Clinic - Cuttack 97,Legal Clinic,+91-7529631796
Jharkhand,Ranchi,Caste Discrimination,Legal Aid NGO - Ranchi 44,Legal Aid NGO,+91-8669394165
Telangana,Warangal,Dowry,District Legal Services Authority - Warangal 4,District Legal Services Authority,+91-9850269303
Uttar Pradesh,Varanasi,Child Abuse,Childline - Varanasi 30,Childline,+91-9270274325
Karnataka,Bengaluru,Senior Citizen Abuse,District Legal Services Authority - Bengaluru 24,District Legal Services Authority,+91-7045388246
Andhra Pradesh,Guntur,Child Abuse,Childline - Guntur 74,Childline,+91-8286079118
Gujarat,Surat,Child Abuse,Legal Aid NGO - Surat 17,Legal Aid NGO,+91-9026955885
Chhattisgarh,Bilaspur,Sexual Harassment,District Legal Services Authority - Bilaspur 44,District Legal Services Authority,+91-8584583955
Tamil Nadu,Madurai,Child Abuse,Legal Clinic - Madurai 56,Legal Clinic,+91-8447688160
Tamil Nadu,Coimbatore,Senior Citizen Abuse,Women's Helpline - Coimbatore 13,Women's Helpline,+91-9020698296
Madhya Pradesh,Jabalpur,Cyber Crime,Childline - Jabalpur 51,Childline,+91-9107703707
Telangana,Warangal,Cyber Crime,Women's Helpline - Warangal 41,Women's Helpline,+91-9299026330
Rajasthan,Jodhpur,Property Dispute,Women's Helpline - Jodhpur 92,Women's Helpline,+91-7162900918
Jharkhand,Ranchi,Senior Citizen Abuse,District Legal Services Authority - Ranchi 66,District Legal Services Authority,+91-7857833092
Jammu & Kashmir,Srinagar,Caste Discrimination,Elder Help NGO - Srinagar 78,Elder Help NGO,+91-7791018852
Kerala,Kochi,Dowry,Women's Helpline - Kochi 25,Women's Helpline,+91-8192536120
Kerala,Thiruvananthapuram,Child Abuse,District Legal Services Authority - Thiruvananthapuram 80,District Legal Services Authority,+91-8036280695
Jammu & Kashmir,Srinagar,Domestic Violence,Legal Aid NGO - Srinagar 14,Legal Aid NGO,+91-9842504626
Jharkhand,Jamshedpur,Caste Discrimination,Cyber Helpline - Jamshedpur 1,Cyber Helpline,+91-9537811843
Jharkhand,Dhanbad,Child Abuse,District Legal Services Authority - Dhanbad 21,District Legal Services Authority,+91-7933121097
Maharashtra,Mumbai,Cyber Crime,Women's Helpline - Mumbai 38,Women's Helpline,+91-8866412436
Telangana,Hyderabad,Domestic Violence,Women's Helpline - Hyderabad 7,Women's Helpline,+91-8313477937
Delhi,New Delhi,Domestic Violence,Elder Help NGO - New Delhi 50,Elder Help NGO,+91-9965990283
Jammu & Kashmir,Jammu,Property Dispute,Elder Help NGO - Jammu 22,Elder Help NGO,+91-8253376760
Rajasthan,Udaipur,Caste Discrimination,Legal Aid NGO - Udaipur 75,Legal Aid NGO,+91-7658204236
Assam,Silchar,Senior Citizen Abuse,Legal Clinic - Silchar 65,Legal Clinic,+91-9849211077
Telangana,Hyderabad,Dowry,Legal Aid NGO - Hyderabad 25,Legal Aid NGO,+91-9576352322
Maharashtra,Mumbai,Cyber Crime,District Legal Services Authority - Mumbai 78,District Legal Services Authority,+91-9710263604
Bihar,Gaya,Domestic Violence,Elder Help NGO - Gaya 11,Elder Help NGO,+91-9135644639
Madhya Pradesh,Indore,Child Abuse,Women's Helpline - Indore 2,Women's Helpline,+91-7319789905
Bihar,Gaya,Domestic Violence,Legal Clinic - Gaya 96,Legal Clinic,+91-8970718920
Chhattisgarh,Durg,Senior Citizen Abuse,Legal Clinic - Durg 68,Legal Clinic,+91-7181184447
Bihar,Patna,Domestic Violence,Childline - Patna 83,Childline,+91-8173058990
Rajasthan,Jaipur,Domestic Violence,District Legal Services Authority - Jaipur 84,District Legal Services Authority,+91-8504998861
Rajasthan,Jodhpur,Dowry,Women's Helpline - Jodhpur 92,Women's Helpline,+91-9299175313
Delhi,New Delhi,Caste Discrimination,District Legal Services Authority - New Delhi 87,District Legal Services Authority,+91-7652572027
Rajasthan,Udaipur,Dowry,Legal Clinic - Udaipur 56,Legal Clinic,+91-9246494801
Kerala,Kochi,Cyber Crime,Legal Aid NGO - Kochi 9,Legal Aid NGO,+91-9286257248
Punjab,Amritsar,Dowry,Cyber Helpline - Amritsar 60,Cyber Helpline,+91-7655030058
Telangana,Nizamabad,Dowry,Cyber Helpline - Nizamabad 49,Cyber Helpline,+91-9663770616
Madhya Pradesh,Indore,Caste Discrimination,Cyber Helpline - Indore 15,Cyber Helpline,+91-8866585806
Maharashtra,Pune,Domestic Violence,District Legal Services Authority - Pune 53,District Legal Services Authority,+91-7167916165
West Bengal,Kolkata,Child Abuse,Legal Clinic - Kolkata 38,Legal Clinic,+91-8555161904
Telangana,Hyderabad,Domestic Violence,Cyber Helpline - Hyderabad 49,Cyber Helpline,+91-7361956167
Bihar,Bhagalpur,Dowry,Cyber Helpline - Bhagalpur 83,Cyber Helpline,+91-7241383141
Punjab,Chandigarh,Caste Discrimination,Elder Help NGO - Chandigarh 72,Elder Help NGO,+91-9328001766
