State,City,Case_Type,Resource_Name,Resource_Type,Contact
Telangana,Hyderabad,Domestic Violence,Legal Aid NGO - Hyderabad 27,Legal Aid NGO,+91-7226578397
Gujarat,Vadodara,Dowry,Cyber Helpline - Vadodara 14,Cyber Helpline,+91-7585702523
Maharashtra,Nagpur,Dowry,Legal Clinic - Nagpur 88,Legal Clinic,+91-7835048722
Maharashtra,Nagpur,Child Abuse,Childline - Nagpur 88,Childline,+91-7617930595
Madhya Pradesh,Jabalpur,Property Dispute,Legal Aid NGO - Jabalpur 19,Legal Aid NGO,+91-8051873699
Punjab,Amritsar,Domestic Violence,District Legal Services Authority - Amritsar 54,District Legal Services Authority,+91-8798621617
Karnataka,Mangalore,Child Abuse,Women's Helpline - Mangalore 36,Women's Helpline,+91-9587103145
Punjab,Chandigarh,Property Dispute,Childline - Chandigarh 68,Childline,+91-9128193181
Bihar,Gaya,Cyber Crime,Legal Clinic - Gaya 77,Legal Clinic,+91-9008261954
Andhra Pradesh,Guntur,Cyber Crime,Childline - Guntur 94,Childline,+91-8153526585
Uttar Pradesh,Lucknow,Senior Citizen Abuse,Legal Aid NGO - Lucknow 16,Legal Aid NGO,+91-9327275667
Odisha,Bhubaneswar,Senior Citizen Abuse,Legal Clinic - Bhubaneswar 61,Legal Clinic,+91-7935108165
Madhya Pradesh,Bhopal,Caste Discrimination,Cyber Helpline - Bhopal 44,Cyber Helpline,+91-9634314484
Assam,Guwahati,Domestic Violence,Legal Aid NGO - Guwahati 85,Legal Aid NGO,+91-7228438087
Tamil Nadu,Coimbatore,Sexual Harassment,Childline - Coimbatore 73,Childline,+91-7728885087
Andhra Pradesh,Visakhapatnam,Caste Discrimination,Legal Aid NGO - Visakhapatnam 68,Legal Aid NGO,+91-9982748327
Karnataka,Mysore,Child Abuse,Legal Aid NGO - Mysore 1,Legal Aid NGO,+91-7942601166
West Bengal,Howrah,Child Abuse,Legal Clinic - Howrah 81,Legal Clinic,+91-8867525136
Telangana,Warangal,Cyber Crime,Women's Helpline - Warangal 59,Women's Helpline,+91-8573118908
Assam,Dibrugarh,Property Dispute,Elder Help NGO - Dibrugarh 39,Elder Help NGO,+91-9389373955
Gujarat,Surat,Caste Discrimination,District Legal Services Authority - Surat 73,District Legal Services Authority,+91-7876781024
Punjab,Chandigarh,Dowry,Women's Helpline - Chandigarh 30,Women's Helpline,+91-7772815417
Chhattisgarh,Raipur,Domestic Violence,Elder Help NGO - Raipur 81,Elder Help NGO,+91-7534845572
Maharashtra,Nagpur,Dowry,Legal Clinic - Nagpur 95,Legal Clinic,+91-7475008437
Delhi,New Delhi,Senior Citizen Abuse,District Legal Services Authority - New Delhi 50,District Legal Services Authority,+91-7734705677
Bihar,Gaya,Caste Discrimination,Cyber Helpline - Gaya 16,Cyber Helpline,+91-9417080753
Jammu & Kashmir,Srinagar,Domestic Violence,Legal Clinic - Srinagar 63,Legal Clinic,+91-9255026886
Rajasthan,Jodhpur,Property Dispute,Childline - Jodhpur 69,Childline,+91-7308121279
Andhra Pradesh,Vijayawada,Child Abuse,Legal Clinic - Vijayawada 89,Legal Clinic,+91-9696761276
West Bengal,Howrah,Caste Discrimination,District Legal Services Authority - Howrah 17,District Legal Services Authority,+91-8724638172
Chhattisgarh,Durg,Cyber Crime,Cyber Helpline - Durg 85,Cyber Helpline,+91-8687870486
Assam,Dibrugarh,Property Dispute,Women's Helpline - Dibrugarh 10,Women's Helpline,+91-7112783049
Gujarat,Surat,Caste Discrimination,Childline - Surat 61,Childline,+91-8547114554
Tamil Nadu,Coimbatore,Caste Discrimination,Women's Helpline - Coimbatore 19,Women's Helpline,+91-7777025049
Madhya Pradesh,Bhopal,Domestic Violence,Childline - Bhopal 85,Childline,+91-8932657572
West Bengal,Siliguri,Sexual Harassment,Childline - Siliguri 8,Childline,+91-9146515561
Jammu & Kashmir,Jammu,Senior Citizen Abuse,Legal Clinic - Jammu 66,Legal Clinic,+91-7424356984
Punjab,Amritsar,Senior Citizen Abuse,Elder Help NGO - Amritsar 50,Elder Help NGO,+91-8764896289
Kerala,Kozhikode,Cyber Crime,Childline - Kozhikode 10,Childline,+91-9823424327
Andhra Pradesh,Visakhapatnam,Cyber Crime,Women's Helpline - Visakhapatnam 80,Women's Helpline,+91-8143865482
Chhattisgarh,Bilaspur,Senior Citizen Abuse,Cyber Helpline - Bilaspur 11,Cyber Helpline,+91-7605725560
Bihar,Gaya,Dowry,Childline - Gaya 24,Childline,+91-7257539447
Karnataka,Mangalore,Dowry,Women's Helpline - Mangalore 18,Women's Helpline,+91-7031982722
Karnataka,Bengaluru,Property Dispute,Cyber Helpline - Bengaluru 14,Cyber Helpline,+91-7436198513
Telangana,Nizamabad,Property Dispute,Legal Aid NGO - Nizamabad 32,Legal Aid NGO,+91-7543738061
Bihar,Patna,Senior Citizen Abuse,Women's Helpline - Patna 68,Women's Helpline,+91-8933672154
Punjab,Ludhiana,Cyber Crime,Elder Help NGO - Ludhiana 4,Elder Help NGO,+91-7004960515
Gujarat,Vadodara,Dowry,Legal Aid NGO - Vadodara 25,Legal Aid NGO,+91-8344893221
Karnataka,Mysore,Caste Discrimination,Legal Aid NGO - Mysore 8,Legal Aid NGO,+91-7680123021
West Bengal,Kolkata,Child Abuse,Legal Clinic - Kolkata 78,Legal Clinic,+91-8242758313
Assam,Guwahati,Caste Discrimination,Childline - Guwahati 79,Childline,+91-9808770419
Rajasthan,Udaipur,Sexual Harassment,Cyber Helpline - Udaipur 36,Cyber Helpline,+91-8827221765
Delhi,New Delhi,Dowry,Childline - New Delhi 36,Childline,+91-8921143695
Maharashtra,Mumbai,Child Abuse,District Legal Services Authority - Mumbai 34,District Legal Services Authority,+91-9368444179
Bihar,Patna,Dowry,Legal Aid NGO - Patna 30,Legal Aid NGO,+91-8834303174
Tamil Nadu,Chennai,Sexual Harassment,Childline - Chennai 55,Childline,+91-7360510141
Madhya Pradesh,Bhopal,Property Dispute,Cyber Helpline - Bhopal 52,Cyber Helpline,+91-8671608989
Bihar,Bhagalpur,Sexual Harassment,Women's Helpline - Bhagalpur 22,Women's Helpline,+91-7256516867
Madhya Pradesh,Indore,Property Dispute,District Legal Services Authority - Indore 87,District Legal Services Authority,+91-9237041591
Madhya Pradesh,Indore,Child Abuse,District Legal Services Authority - Indore 81,District Legal Services Authority,+91-8470650780
Telangana,Hyderabad,Property Dispute,Women's Helpline - Hyderabad 56,Women's Helpline,+91-8512161022
Jammu & Kashmir,Jammu,Child Abuse,District Legal Services Authority - Jammu 32,District Legal Services Authority,+91-8673215047
Jharkhand,Dhanbad,Sexual Harassment,Elder Help NGO - Dhanbad 32,Elder Help NGO,+91-7349182318
Telangana,Nizamabad,Domestic Violence,District Legal Services Authority - Nizamabad 22,District Legal Services Authority,+91-9775595806
Gujarat,Ahmedabad,Domestic Violence,District Legal Services Authority - Ahmedabad 66,District Legal Services Authority,+91-9479031983
Jharkhand,Dhanbad,Sexual Harassment,Women's Helpline - Dhanbad 37,Women's Helpline,+91-8068984519
Andhra Pradesh,Visakhapatnam,Cyber Crime,Elder Help NGO - Visakhapatnam 48,Elder Help NGO,+91-8005050404
Assam,Dibrugarh,Senior Citizen Abuse,Women's Helpline - Dibrugarh 6,Women's Helpline,+91-8146588836
Telangana,Nizamabad,Senior Citizen Abuse,Cyber Helpline - Nizamabad 11,Cyber Helpline,+91-8479327752
Odisha,Cuttack,Child Abuse,Childline - Cuttack 29,Childline,+91-8003812887
Chhattisgarh,Durg,Domestic Violence,Elder Help NGO - Durg 12,Elder Help NGO,+91-7248277262
Bihar,Bhagalpur,Domestic Violence,Elder Help NGO - Bhagalpur 65,Elder Help NGO,+91-8458968825
West Bengal,Howrah,Domestic Violence,District Legal Services Authority - Howrah 73,District Legal Services Authority,+91-8857192940
Andhra Pradesh,Vijayawada,Property Dispute,District Legal Services Authority - Vijayawada 20,District Legal Services Authority,+91-8693616677
Karnataka,Bengaluru,Sexual Harassment,Cyber Helpline - Bengaluru 46,Cyber Helpline,+91-8321356021
Assam,Silchar,Dowry,Legal Aid NGO - Silchar 58,Legal Aid NGO,+91-7157646813
Maharashtra,Nagpur,Sexual Harassment,Childline - Nagpur 29,Childline,+91-7189312721
Rajasthan,Jaipur,Dowry,Elder Help NGO - Jaipur 91,Elder Help NGO,+91-8241770897
Maharashtra,Pune,Child Abuse,Cyber Helpline - Pune 67,Cyber Helpline,+91-9931189360
West Bengal,Siliguri,Domestic Violence,District Legal Services Authority - Siliguri 82,District Legal Services Authority,+91-9429758182
Bihar,Gaya,Cyber Crime,District Legal Services Authority - Gaya 91,District Legal Services Authority,+91-8995906028
Andhra Pradesh,Guntur,Senior Citizen Abuse,Legal Aid NGO - Guntur 73,Legal Aid NGO,+91-9746998580
Delhi,New Delhi,Senior Citizen Abuse,Elder Help NGO - New Delhi 59,Elder Help NGO,+91-7785357634
Bihar,Bhagalpur,Child Abuse,District Legal Services Authority - Bhagalpur 43,District Legal Services Authority,+91-9901197403
Assam,Silchar,Senior Citizen Abuse,Cyber Helpline - Silchar 39,Cyber Helpline,+91-9567117854
Assam,Guwahati,Caste Discrimination,Cyber Helpline - Guwahati 14,Cyber Helpline,+91-7485021808
Telangana,Nizamabad,Senior Citizen Abuse,Legal Aid NGO - Nizamabad 20,Legal Aid NGO,+91-8322886044
Haryana,Gurgaon,Senior Citizen Abuse,District Legal Services Authority - Gurgaon 30,District Legal Services Authority,+91-9139792997
Jharkhand,Jamshedpur,Domestic Violence,Elder Help NGO - Jamshedpur 17,Elder Help NGO,+91-8909651838
Assam,Dibrugarh,Dowry,Cyber Helpline - Dibrugarh 66,Cyber Helpline,+91-7817751564
Madhya Pradesh,Indore,Property Dispute,Elder Help NGO - Indore 81,Elder Help NGO,+91-7601038367
Uttar Pradesh,Lucknow,Dowry,District Legal Services Authority - Lucknow 64,District Legal Services Authority,+91-9613754497
Jammu & Kashmir,Srinagar,Dowry,Women's Helpline - Srinagar 23,Women's Helpline,+91-8756108523
Rajasthan,Udaipur,Senior Citizen Abuse,Childline - Udaipur 92,Childline,+91-8931867714
Assam,Guwahati,Caste Discrimination,Women's Helpline - Guwahati 13,Women's Helpline,+91-9442048738
Maharashtra,Mumbai,Caste Discrimination,Childline - Mumbai 1,Childline,+91-7031521614
Bihar,Gaya,Cyber Crime,Legal Clinic - Gaya 86,Legal Clinic,+91-7262233099
Andhra Pradesh,Guntur,Dowry,Legal Aid NGO - Guntur 27,Legal Aid NGO,+91-7289185829
Gujarat,Vadodara,Cyber Crime,District Legal Services Authority - Vadodara 56,District Legal Services Authority,+91-8628958703
Rajasthan,Jodhpur,Senior Citizen Abuse,Childline - Jodhpur 10,Childline,+91-9214616532
Bihar,Patna,Dowry,District Legal Services Authority - Patna 86,District Legal Services Authority,+91-7600694714
Assam,Silchar,Sexual Harassment,District Legal Services Authority - Silchar 90,District Legal Services Authority,+91-7474898949
Haryana,Gurgaon,Senior Citizen Abuse,Elder Help NGO - Gurgaon 27,Elder Help NGO,+91-7876611257
Assam,Silchar,Dowry,District Legal Services Authority - Silchar 4,District Legal Services Authority,+91-9396938903
Delhi,New Delhi,Sexual Harassment,Cyber Helpline - New Delhi 37,Cyber Helpline,+91-8706698505
Punjab,Amritsar,Caste Discrimination,District Legal Services Authority - Amritsar 13,District Legal Services Authority,+91-8084796266
Andhra Pradesh,Guntur,Child Abuse,Cyber Helpline - Guntur 43,Cyber Helpline,+91-7099835959
Tamil Nadu,Chennai,Property Dispute,District Legal Services Authority - Chennai 26,District Legal Services Authority,+91-9896991972
Rajasthan,Jaipur,Cyber Crime,Cyber Helpline - Jaipur 35,Cyber Helpline,+91-9017737062
Kerala,Kochi,Caste Discrimination,District Legal Services Authority - Kochi 81,District Legal Services Authority,+91-8059962252
Uttar Pradesh,Varanasi,Sexual Harassment,Legal Aid NGO - Varanasi 57,Legal Aid NGO,+91-7878760086
Rajasthan,Jodhpur,Cyber Crime,Legal Clinic - Jodhpur 22,Legal Clinic,+91-7457277888
Jharkhand,Dhanbad,Sexual Harassment,Legal Aid NGO - Dhanbad 25,Legal Aid NGO,+91-7619730857
Andhra Pradesh,Visakhapatnam,Property Dispute,Legal Aid NGO - Visakhapatnam 41,Legal Aid NGO,+91-7130270926
Kerala,Kozhikode,Caste Discrimination,Cyber Helpline - Kozhikode 83,Cyber Helpline,+91-9661695203
Bihar,Gaya,Caste Discrimination,Women's Helpline - Gaya 82,Women's Helpline,+91-7669389628
Kerala,Kozhikode,Dowry,Elder Help NGO - Kozhikode 20,Elder Help NGO,+91-8841064264
Jharkhand,Jamshedpur,Property Dispute,Women's Helpline - Jamshedpur 94,Women's Helpline,+91-8356407372
Assam,Guwahati,Senior Citizen Abuse,Childline - Guwahati 34,Childline,+91-8063463728
Tamil Nadu,Chennai,Sexual Harassment,Legal Clinic - Chennai 6,Legal Clinic,+91-8213664584
Telangana,Hyderabad,Senior Citizen Abuse,Women's Helpline - Hyderabad 99,Women's Helpline,+91-8272084727
Jharkhand,Dhanbad,Property Dispute,Elder Help NGO - Dhanbad 52,Elder Help NGO,+91-7560096718
Chhattisgarh,Durg,Child Abuse,Legal Clinic - Durg 23,Legal Clinic,+91-7410038224
Assam,Silchar,Cyber Crime,Legal Aid NGO - Silchar 2,Legal Aid NGO,+91-7216580942
Karnataka,Mysore,Cyber Crime,Cyber Helpline - Mysore 42,Cyber Helpline,+91-8507170340
Telangana,Hyderabad,Child Abuse,Legal Clinic - Hyderabad 93,Legal Clinic,+91-8597712128
Uttar Pradesh,Lucknow,Dowry,Childline - Lucknow 54,Childline,+91-9854847515
Punjab,Amritsar,Senior Citizen Abuse,Childline - Amritsar 72,Childline,+91-7452569211
Karnataka,Mysore,Caste Discrimination,District Legal Services Authority - Mysore 11,District Legal Services Authority,+91-7534305194
Jammu & Kashmir,Jammu,Child Abuse,Cyber Helpline - Jammu 83,Cyber Helpline,+91-7027266445
Karnataka,Bengaluru,Cyber Crime,Childline - Bengaluru 43,Childline,+91-7615645595
Karnataka,Mangalore,Child Abuse,District Legal Services Authority - Mangalore 80,District Legal Services Authority,+91-7031701699
Bihar,Patna,Caste Discrimination,Elder Help NGO - Patna 22,Elder Help NGO,+91-8388169912
Uttar Pradesh,Varanasi,Child Abuse,Legal Aid NGO - Varanasi 78,Legal Aid NGO,+91-7945174923
Punjab,Amritsar,Senior Citizen Abuse,Legal Aid NGO - Amritsar 38,Legal Aid NGO,+91-9147721433
Madhya Pradesh,Jabalpur,Cyber Crime,District Legal Services Authority - Jabalpur 43,District Legal Services Authority,+91-7835840206
Delhi,New Delhi,Sexual Harassment,District Legal Services Authority - New Delhi 20,District Legal Services Authority,+91-7752001651
Madhya Pradesh,Indore,Senior Citizen Abuse,District Legal Services Authority - Indore 17,District Legal Services Authority,+91-7576281781
Andhra Pradesh,Visakhapatnam,Sexual Harassment,Legal Aid NGO - Visakhapatnam 14,Legal Aid NGO,+91-7765073753
Assam,Guwahati,Child Abuse,Legal Aid NGO - Guwahati 39,Legal Aid NGO,+91-7417128743
Chhattisgarh,Durg,Dowry,Childline - Durg 99,Childline,+91-8671913483
Assam,Dibrugarh,Child Abuse,Elder Help NGO - Dibrugarh 78,Elder Help NGO,+91-7024586594
Madhya Pradesh,Bhopal,Property Dispute,Legal Clinic - Bhopal 43,Legal Clinic,+91-9537398326
Uttar Pradesh,Varanasi,Property Dispute,Elder Help NGO - Varanasi 32,Elder Help NGO,+91-9978506255
Jharkhand,Dhanbad,Dowry,Legal Clinic - Dhanbad 96,Legal Clinic,+91-7402504721
Gujarat,Vadodara,Senior Citizen Abuse,Childline - Vadodara 96,Childline,+91-9987040056
Haryana,Panipat,Senior Citizen Abuse,Women's Helpline - Panipat 36,Women's Helpline,+91-9943390660
Karnataka,Bengaluru,Domestic Violence,District Legal Services Authority - Bengaluru 78,District Legal Services Authority,+91-9854091292
Karnataka,Mysore,Caste Discrimination,Legal Clinic - Mysore 67,Legal Clinic,+91-7203679983
West Bengal,Kolkata,Child Abuse,Childline - Kolkata 21,Childline,+91-8171875510
Tamil Nadu,Madurai,Sexual Harassment,Legal Clinic - Madurai 14,Legal Clinic,+91-7641359383
Maharashtra,Nagpur,Cyber Crime,Women's Helpline - Nagpur 90,Women's Helpline,+91-9083505698
Delhi,New Delhi,Domestic Violence,District Legal Services Authority - New Delhi 45,District Legal Services Authority,+91-9247367244
Jharkhand,Dhanbad,Domestic Violence,Cyber Helpline - Dhanbad 69,Cyber Helpline,+91-7858636003
Uttar Pradesh,Lucknow,Cyber Crime,Elder Help NGO - Lucknow 55,Elder Help NGO,+91-8451221374
Haryana,Faridabad,Sexual Harassment,District Legal Services Authority - Faridabad 56,District Legal Services Authority,+91-7234542558
Punjab,Ludhiana,Property Dispute,Elder Help NGO - Ludhiana 97,Elder Help NGO,+91-9980777064
West Bengal,Kolkata,Dowry,Legal Clinic - Kolkata 87,Legal Clinic,+91-8920875811
Tamil Nadu,Madurai,Caste Discrimination,Cyber Helpline - Madurai 17,Cyber Helpline,+91-7179746193
Madhya Pradesh,Indore,Property Dispute,Legal Clinic - Indore 72,Legal Clinic,+91-9917058702
Odisha,Bhubaneswar,Caste Discrimination,District Legal Services Authority - Bhubaneswar 4,District Legal Services Authority,+91-7641399943
Kerala,Thiruvananthapuram,Child Abuse,Women's Helpline - Thiruvananthapuram 4,Women's Helpline,+91-7124310321
Kerala,Kochi,Domestic Violence,Elder Help NGO - Kochi 8,Elder Help NGO,+91-7414465908
Rajasthan,Jodhpur,Property Dispute,Legal Aid NGO - Jodhpur 51,Legal Aid NGO,+91-7131891225
Assam,Silchar,Sexual Harassment,Cyber Helpline - Silchar 66,Cyber Helpline,+91-9512668353
West Bengal,Kolkata,Property Dispute,Childline - Kolkata 37,Childline,+91-8847857302
Delhi,New Delhi,Child Abuse,Elder Help NGO - New Delhi 48,Elder Help NGO,+91-8894811641
Odisha,Cuttack,Property Dispute,Elder Help NGO - Cuttack 60,Elder Help NGO,+91-8384647965
Uttar Pradesh,Lucknow,Dowry,Cyber Helpline - Lucknow 82,Cyber Helpline,+91-9517263677
Odisha,Bhubaneswar,Cyber Crime,Childline - Bhubaneswar 89,Childline,+91-7086419642
Punjab,Amritsar,Dowry,Legal Aid NGO - Amritsar 58,Legal Aid NGO,+91-7437302046
Rajasthan,Udaipur,Cyber Crime,Childline - Udaipur 79,Childline,+91-8792329238
Punjab,Ludhiana,Caste Discrimination,Cyber Helpline - Ludhiana 88,Cyber Helpline,+91-8348524740
Jharkhand,Ranchi,Senior Citizen Abuse,Childline - Ranchi 54,Childline,+91-7930812958
Telangana,Hyderabad,Sexual Harassment,Women's Helpline - Hyderabad 82,Women's Helpline,+91-7469062971
Rajasthan,Udaipur,Sexual Harassment,Women's Helpline - Udaipur 72,Women's Helpline,+91-7253777915
Telangana,Hyderabad,Sexual Harassment,Cyber Helpline - Hyderabad 73,Cyber Helpline,+91-7645722297
Bihar,Bhagalpur,Domestic Violence,Childline - Bhagalpur 47,Childline,+91-9988869086
Chhattisgarh,Bilaspur,Sexual Harassment,Legal Aid NGO - Bilaspur 49,Legal Aid NGO,+91-8812085267
Tamil Nadu,Coimbatore,Dowry,Legal Aid NGO - Coimbatore 61,Legal Aid NGO,+91-9985417311
Chhattisgarh,Durg,Cyber Crime,Women's Helpline - Durg 12,Women's Helpline,+91-9335725535
Assam,Silchar,Property Dispute,Childline - Silchar 85,Childline,+91-8816321400
Delhi,New Delhi,Senior Citizen Abuse,Legal Clinic - New Delhi 7,Legal Clinic,+91-8752248856
Tamil Nadu,Madurai,Dowry,Childline - Madurai 25,Childline,+91-8391982306
Kerala,Kochi,Domestic Violence,Elder Help NGO - Kochi 72,Elder Help NGO,+91-8061785391
Andhra Pradesh,Vijayawada,Cyber Crime,Cyber Helpline - Vijayawada 45,Cyber Helpline,+91-7406710910
Gujarat,Vadodara,Cyber Crime,Legal Aid NGO - Vadodara 44,Legal Aid NGO,+91-7051938006
Tamil Nadu,Chennai,Caste Discrimination,District Legal Services Authority - Chennai 81,District Legal Services Authority,+91-9220804940
Uttar Pradesh,Lucknow,Senior Citizen Abuse,Legal Clinic - Lucknow 68,Legal Clinic,+91-7006060459
Karnataka,Mysore,Cyber Crime,Legal Clinic - Mysore 87,Legal Clinic,+91-9153289663
Bihar,Bhagalpur,Child Abuse,Women's Helpline - Bhagalpur 61,Women's Helpline,+91-7897635130
Telangana,Hyderabad,Child Abuse,Women's Helpline - Hyderabad 48,Women's Helpline,+91-8377549187
Chhattisgarh,Durg,Property Dispute,Childline - Durg 67,Childline,+91-8927125155
Madhya Pradesh,Jabalpur,Property Dispute,Childline - Jabalpur 6,Childline,+91-7550885671
Gujarat,Vadodara,Domestic Violence,District Legal Services Authority - Vadodara 33,District Legal Services Authority,+91-9776865972
Odisha,Rourkela,Property Dispute,Cyber Helpline - Rourkela 55,Cyber Helpline,+91-9894461039
Andhra Pradesh,Visakhapatnam,Dowry,Women's Helpline - Visakhapatnam 18,Women's Helpline,+91-7791695409
Telangana,Warangal,Sexual Harassment,Legal Aid NGO - Warangal 65,Legal Aid NGO,+91-7548005406
Rajasthan,Udaipur,Property Dispute,Legal Clinic - Udaipur 9,Legal Clinic,+91-8506143307
