State,City,Case_Type,Resource_Name,Resource_Type,Contact
Tamil Nadu,Coimbatore,Dowry,District Legal Services Authority - Coimbatore 55,District Legal Services Authority,+91-8499590043
Odisha,Rourkela,Senior Citizen Abuse,Elder Help NGO - Rourkela 69,Elder Help NGO,+91-9155657211
Andhra Pradesh,Vijayawada,Domestic Violence,Childline - Vijayawada 50,Childline,+91-9237835689
Punjab,Ludhiana,Cyber Crime,Legal Clinic - Ludhiana 91,Legal Clinic,+91-8794074537
Madhya Pradesh,Bhopal,Child Abuse,Cyber Helpline - Bhopal 88,Cyber Helpline,+91-9555497141
Assam,Silchar,Domestic Violence,Cyber Helpline - Silchar 16,Cyber Helpline,+91-7968691097
Andhra Pradesh,Vijayawada,Domestic Violence,Legal Clinic - Vijayawada 70,Legal Clinic,+91-8822862134
West Bengal,Siliguri,Caste Discrimination,Childline - Siliguri 5,Childline,+91-9831350430
Punjab,Amritsar,Cyber Crime,Elder Help NGO - Amritsar 66,Elder Help NGO,+91-8540484079
Andhra Pradesh,Visakhapatnam,Property Dispute,Legal Clinic - Visakhapatnam 78,Legal Clinic,+91-7703812911
West Bengal,Howrah,Cyber Crime,Women's Helpline - Howrah 60,Women's Helpline,+91-8249803764
Karnataka,Bengaluru,Senior Citizen Abuse,Cyber Helpline - Bengaluru 3,Cyber Helpline,+91-9177798555
Maharashtra,Pune,Domestic Violence,Women's Helpline - Pune 51,Women's Helpline,+91-7056918738
Delhi,New Delhi,Cyber Crime,Elder Help NGO - New Delhi 81,Elder Help NGO,+91-8000801414
Odisha,Bhubaneswar,Dowry,District Legal Services Authority - Bhubaneswar 47,District Legal Services Authority,+91-9862286216
Chhattisgarh,Raipur,Senior Citizen Abuse,District Legal Services Authority - Raipur 19,District Legal Services Authority,+91-7816002064
Jammu & Kashmir,Srinagar,Sexual Harassment,Elder Help NGO - Srinagar 39,Elder Help NGO,+91-8103422383
West Bengal,Siliguri,Domestic Violence,Childline - Siliguri 50,Childline,+91-7577867014
Delhi,New Delhi,Domestic Violence,Women's Helpline - New Delhi 70,Women's Helpline,+91-9852651368
Punjab,Chandigarh,Domestic Violence,Legal Clinic - Chandigarh 11,Legal Clinic,+91-9303652908
Jammu & Kashmir,Srinagar,Cyber Crime,Legal Clinic - Srinagar 33,Legal Clinic,+91-9749946853
Kerala,Kozhikode,Cyber Crime,District Legal Services Authority - Kozhikode 92,District Legal Services Authority,+91-8476030636
Kerala,Kochi,Dowry,Women's Helpline - Kochi 35,Women's Helpline,+91-9263368252
Rajasthan,Jaipur,Property Dispute,Elder Help NGO - Jaipur 61,Elder Help NGO,+91-9087314681
Telangana,Warangal,Dowry,Elder Help NGO - Warangal 42,Elder Help NGO,+91-9929871235
Delhi,New Delhi,Sexual Harassment,Childline - New Delhi 86,Childline,+91-8298566961
Haryana,Gurgaon,Cyber Crime,Women's Helpline - Gurgaon 31,Women's Helpline,+91-9154712296
Jammu & Kashmir,Srinagar,Caste Discrimination,Childline - Srinagar 90,Childline,+91-8642282628
Jammu & Kashmir,Srinagar,Sexual Harassment,Elder Help NGO - Srinagar 30,Elder Help NGO,+91-7817639118
Gujarat,Vadodara,Senior Citizen Abuse,District Legal Services Authority - Vadodara 19,District Legal Services Authority,+91-8452257610
Andhra Pradesh,Vijayawada,Domestic Violence,Legal Clinic - Vijayawada 73,Legal Clinic,+91-7178194820
Chhattisgarh,Durg,Property Dispute,Legal Aid NGO - Durg 85,Legal Aid NGO,+91-7729287019
Andhra Pradesh,Visakhapatnam,Dowry,District Legal Services Authority - Visakhapatnam 36,District Legal Services Authority,+91-9942969588
Kerala,Thiruvananthapuram,Cyber Crime,Legal Clinic - Thiruvananthapuram 93,Legal Clinic,+91-7007450784
Madhya Pradesh,Jabalpur,Domestic Violence,Women's Helpline - Jabalpur 68,Women's Helpline,+91-7468537712
Assam,Dibrugarh,Dowry,Childline - Dibrugarh 29,Childline,+91-8472747867
Madhya Pradesh,Bhopal,Domestic Violence,Legal Clinic - Bhopal 37,Legal Clinic,+91-9246884796
Jammu & Kashmir,Srinagar,Cyber Crime,District Legal Services Authority - Srinagar 81,District Legal Services Authority,+91-7534245440
West Bengal,Siliguri,Caste Discrimination,Women's Helpline - Siliguri 57,Women's Helpline,+91-7777074545
Rajasthan,Jaipur,Domestic Violence,Women's Helpline - Jaipur 19,Women's Helpline,+91-9186224148
Jharkhand,Dhanbad,Dowry,Elder Help NGO - Dhanbad 13,Elder Help NGO,+91-7345322052
West Bengal,Howrah,Sexual Harassment,Elder Help NGO - Howrah 57,Elder Help NGO,+91-7364030882
Odisha,Cuttack,Property Dispute,Elder Help NGO - Cuttack 45,Elder Help NGO,+91-8374830353
Delhi,New Delhi,Dowry,Legal Aid NGO - New Delhi 73,Legal Aid NGO,+91-8321158077
Telangana,Nizamabad,Senior Citizen Abuse,Legal Clinic - Nizamabad 35,Legal Clinic,+91-9632080488
Jammu & Kashmir,Srinagar,Domestic Violence,Childline - Srinagar 64,Childline,+91-7848142051
Punjab,Ludhiana,Domestic Violence,Legal Aid NGO - Ludhiana 99,Legal Aid NGO,+91-7808644342
Andhra Pradesh,Guntur,Cyber Crime,Legal Clinic - Guntur 29,Legal Clinic,+91-7763986179
Haryana,Gurgaon,Property Dispute,District Legal Services Authority - Gurgaon 88,District Legal Services Authority,+91-9357670623
Haryana,Gurgaon,Caste Discrimination,Cyber Helpline - Gurgaon 61,Cyber Helpline,+91-8352792932
Odisha,Bhubaneswar,Dowry,Women's Helpline - Bhubaneswar 97,Women's Helpline,+91-9487347521
Assam,Guwahati,Sexual Harassment,Legal Aid NGO - Guwahati 43,Legal Aid NGO,+91-7425647227
Andhra Pradesh,Vijayawada,Sexual Harassment,Legal Aid NGO - Vijayawada 36,Legal Aid NGO,+91-9622977442
Jharkhand,Ranchi,Domestic Violence,Legal Clinic - Ranchi 21,Legal Clinic,+91-9634038212
Maharashtra,Nagpur,Senior Citizen Abuse,District Legal Services Authority - Nagpur 94,District Legal Services Authority,+91-9777336590
Karnataka,Mangalore,Dowry,Legal Clinic - Mangalore 76,Legal Clinic,+91-9842598695
Andhra Pradesh,Visakhapatnam,Senior Citizen Abuse,Legal Aid NGO - Visakhapatnam 15,Legal Aid NGO,+91-7593738423
Haryana,Faridabad,Caste Discrimination,Childline - Faridabad 52,Childline,+91-8308384601
Karnataka,Mysore,Senior Citizen Abuse,Legal Clinic - Mysore 43,Legal Clinic,+91-9005418814
Haryana,Faridabad,Caste Discrimination,District Legal Services Authority - Faridabad 95,District Legal Services Authority,+91-7304766571
Telangana,Hyderabad,Property Dispute,Women's Helpline - Hyderabad 26,Women's Helpline,+91-8517742247
Odisha,Bhubaneswar,Sexual Harassment,Legal Clinic - Bhubaneswar 78,Legal Clinic,+91-9984573360
Assam,Guwahati,Sexual Harassment,Women's Helpline - Guwahati 32,Women's Helpline,+91-8003877944
Haryana,Gurgaon,Senior Citizen Abuse,Legal Aid NGO - Gurgaon 2,Legal Aid NGO,+91-7978858114
Kerala,Kochi,Child Abuse,Elder Help NGO - Kochi 41,Elder Help NGO,+91-9720129561
Tamil Nadu,Coimbatore,Child Abuse,Cyber Helpline - Coimbatore 90,Cyber Helpline,+91-7223873327
Maharashtra,Nagpur,Dowry,Legal Clinic - Nagpur 82,Legal Clinic,+91-8958733301
Delhi,New Delhi,Caste Discrimination,Women's Helpline - New Delhi 50,Women's Helpline,+91-7786733794
Karnataka,Mangalore,Dowry,Childline - Mangalore 92,Childline,+91-9991511920
Tamil Nadu,Coimbatore,Dowry,Women's Helpline - Coimbatore 85,Women's Helpline,+91-8191720389
Andhra Pradesh,Visakhapatnam,Property Dispute,Legal Clinic - Visakhapatnam 54,Legal Clinic,+91-7010319345
Tamil Nadu,Madurai,Caste Discrimination,Legal Aid NGO - Madurai 53,Legal Aid NGO,+91-9114821500
Assam,Guwahati,Cyber Crime,Legal Aid NGO - Guwahati 47,Legal Aid NGO,+91-7549367812
Maharashtra,Nagpur,Dowry,District Legal Services Authority - Nagpur 8,District Legal Services Authority,+91-9812283620
Maharashtra,Nagpur,Dowry,Cyber Helpline - Nagpur 78,Cyber Helpline,+91-7880630951
Uttar Pradesh,Varanasi,Cyber Crime,Legal Clinic - Varanasi 97,Legal Clinic,+91-7840983683
Andhra Pradesh,Visakhapatnam,Property Dispute,Elder Help NGO - Visakhapatnam 99,Elder Help NGO,+91-8153642354
Telangana,Warangal,Dowry,District Legal Services Authority - Warangal 15,District Legal Services Authority,+91-7670065037
Uttar Pradesh,Lucknow,Senior Citizen Abuse,Legal Aid NGO - Lucknow 21,Legal Aid NGO,+91-7734212596
Bihar,Bhagalpur,Child Abuse,Legal Clinic - Bhagalpur 31,Legal Clinic,+91-9107865076
Jammu & Kashmir,Jammu,Property Dispute,Childline - Jammu 53,Childline,+91-9720967972
Telangana,Nizamabad,Senior Citizen Abuse,Legal Aid NGO - Nizamabad 60,Legal Aid NGO,+91-7853051737
Uttar Pradesh,Kanpur,Senior Citizen Abuse,Legal Clinic - Kanpur 31,Legal Clinic,+91-9658815256
Haryana,Gurgaon,Dowry,Cyber Helpline - Gurgaon 28,Cyber Helpline,+91-8182896306
Chhattisgarh,Durg,Domestic Violence,District Legal Services Authority - Durg 30,District Legal Services Authority,+91-8721260723
Andhra Pradesh,Guntur,Sexual Harassment,Legal Aid NGO - Guntur 70,Legal Aid NGO,+91-9510717180
Assam,Dibrugarh,Cyber Crime,Childline - Dibrugarh 17,Childline,+91-7320903899
Jharkhand,Dhanbad,Child Abuse,Women's Helpline - Dhanbad 94,Women's Helpline,+91-8793045877
Jharkhand,Ranchi,Property Dispute,Legal Clinic - Ranchi 15,Legal Clinic,+91-9149475562
Chhattisgarh,Durg,Caste Discrimination,Legal Clinic - Durg 76,Legal Clinic,+91-9496631629
Tamil Nadu,Chennai,Child Abuse,Elder Help NGO - Chennai 23,Elder Help NGO,+91-8179668062
Madhya Pradesh,Bhopal,Sexual Harassment,Elder Help NGO - Bhopal 81,Elder Help NGO,+91-8534661915
West Bengal,Siliguri,Cyber Crime,District Legal Services Authority - Siliguri 6,District Legal Services Authority,+91-9013249922
Gujarat,Ahmedabad,Property Dispute,Legal Clinic - Ahmedabad 35,Legal Clinic,+91-9969503431
Delhi,New Delhi,Caste Discrimination,Legal Clinic - New Delhi 89,Legal Clinic,+91-9065252230
Gujarat,Ahmedabad,Domestic Violence,Legal Clinic - Ahmedabad 81,Legal Clinic,+91-7487830796
Kerala,Kochi,Domestic Violence,Cyber Helpline - Kochi 50,Cyber Helpline,+91-9639295415
Haryana,Gurgaon,Cyber Crime,Elder Help NGO - Gurgaon 22,Elder Help NGO,+91-7775215311
Tamil Nadu,Coimbatore,Senior Citizen Abuse,District Legal Services Authority - Coimbatore 79,District Legal Services Authority,+91-9550521442
Telangana,Nizamabad,Dowry,Legal Clinic - Nizamabad 73,Legal Clinic,+91-9973481862
Jharkhand,Jamshedpur,Child Abuse,District Legal Services Authority - Jamshedpur 28,District Legal Services Authority,+91-9496167946
Kerala,Thiruvananthapuram,Sexual Harassment,Childline - Thiruvananthapuram 69,Childline,+91-8349604092
Haryana,Gurgaon,Domestic Violence,Women's Helpline - Gurgaon 70,Women's Helpline,+91-9067896233
Jharkhand,Jamshedpur,Senior Citizen Abuse,District Legal Services Authority - Jamshedpur 51,District Legal Services Authority,+91-8291880568
Andhra Pradesh,Visakhapatnam,Caste Discrimination,Cyber Helpline - Visakhapatnam 51,Cyber Helpline,+91-9456072610
Tamil Nadu,Madurai,Dowry,Legal Aid NGO - Madurai 80,Legal Aid NGO,+91-8709263962
Maharashtra,Pune,Caste Discrimination,District Legal Services Authority - Pune 39,District Legal Services Authority,+91-7939596124
Uttar Pradesh,Lucknow,Sexual Harassment,Legal Aid NGO - Lucknow 90,Legal Aid NGO,+91-9659380354
Haryana,Panipat,Child Abuse,Legal Aid NGO - Panipat 1,Legal Aid NGO,+91-8541235930
Tamil Nadu,Chennai,Child Abuse,Legal Clinic - Chennai 37,Legal Clinic,+91-8077169424
Chhattisgarh,Bilaspur,Domestic Violence,Elder Help NGO - Bilaspur 94,Elder Help NGO,+91-7369272476
Bihar,Patna,Sexual Harassment,District Legal Services Authority - Patna 22,District Legal Services Authority,+91-8956234104
Haryana,Panipat,Senior Citizen Abuse,Childline - Panipat 31,Childline,+91-9656356175
Odisha,Bhubaneswar,Dowry,Elder Help NGO - Bhubaneswar 55,Elder Help NGO,+91-7890181030
Andhra Pradesh,Visakhapatnam,Child Abuse,Cyber Helpline - Visakhapatnam 61,Cyber Helpline,+91-7818612682
Madhya Pradesh,Bhopal,Dowry,Legal Clinic - Bhopal 95,Legal Clinic,+91-7418521829
Bihar,Bhagalpur,Child Abuse,Legal Clinic - Bhagalpur 23,Legal Clinic,+91-9650780947
Gujarat,Ahmedabad,Sexual Harassment,District Legal Services Authority - Ahmedabad 20,District Legal Services Authority,+91-9914566845
Odisha,Cuttack,Caste Discrimination,Childline - Cuttack 97,Childline,+91-9694133565
Delhi,New Delhi,Sexual Harassment,Women's Helpline - New Delhi 2,Women's Helpline,+91-8768673931
Tamil Nadu,Madurai,Sexual Harassment,Legal Clinic - Madurai 72,Legal Clinic,+91-8879398743
Tamil Nadu,Coimbatore,Property Dispute,Legal Clinic - Coimbatore 95,Legal Clinic,+91-7723269308
Odisha,Bhubaneswar,Dowry,Elder Help NGO - Bhubaneswar 90,Elder Help NGO,+91-8426923147
Maharashtra,Nagpur,Domestic Violence,Legal Aid NGO - Nagpur 24,Legal Aid NGO,+91-7673755024
Andhra Pradesh,Guntur,Domestic Violence,Elder Help NGO - Guntur 60,Elder Help NGO,+91-7248719367
Bihar,Patna,Domestic Violence,Childline - Patna 39,Childline,+91-7402279955
Madhya Pradesh,Indore,Child Abuse,Legal Clinic - Indore 36,Legal Clinic,+91-9897543552
Gujarat,Vadodara,Caste Discrimination,Women's Helpline - Vadodara 67,Women's Helpline,+91-7757368936
Andhra Pradesh,Visakhapatnam,Senior Citizen Abuse,Legal Clinic - Visakhapatnam 16,Legal Clinic,+91-9524781810
Telangana,Hyderabad,Cyber Crime,Legal Clinic - Hyderabad 81,Legal Clinic,+91-7984221839
Delhi,New Delhi,Dowry,Legal Clinic - New Delhi 97,Legal Clinic,+91-9018901358
Haryana,Panipat,Caste Discrimination,Legal Clinic - Panipat 37,Legal Clinic,+91-7121181168
Karnataka,Mangalore,Cyber Crime,Legal Clinic - Mangalore 4,Legal Clinic,+91-8598713793
Chhattisgarh,Raipur,Caste Discrimination,Women's Helpline - Raipur 43,Women's Helpline,+91-8767633016
Andhra Pradesh,Visakhapatnam,Domestic Violence,Childline - Visakhapatnam 48,Childline,+91-7210615948
Tamil Nadu,Madurai,Caste Discrimination,District Legal Services Authority - Madurai 76,District Legal Services Authority,+91-8063980410
Maharashtra,Nagpur,Senior Citizen Abuse,Elder Help NGO - Nagpur 84,Elder Help NGO,+91-7273236668
Tamil Nadu,Madurai,Sexual Harassment,Childline - Madurai 65,Childline,+91-9045962784
Andhra Pradesh,Guntur,Sexual Harassment,Legal Aid NGO - Guntur 78,Legal Aid NGO,+91-8027638980
Punjab,Chandigarh,Sexual Harassment,District Legal Services Authority - Chandigarh 72,District Legal Services Authority,+91-7592851714
Karnataka,Mangalore,Caste Discrimination,Elder Help NGO - Mangalore 28,Elder Help NGO,+91-8513947899
Assam,Guwahati,Domestic Violence,Women's Helpline - Guwahati 53,Women's Helpline,+91-9737904575
Jammu & Kashmir,Srinagar,Property Dispute,Elder Help NGO - Srinagar 53,Elder Help NGO,+91-7589655105
Chhattisgarh,Bilaspur,Child Abuse,Legal Aid NGO - Bilaspur 84,Legal Aid NGO,+91-7167578877
Tamil Nadu,Chennai,Domestic Violence,Legal Clinic - Chennai 2,Legal Clinic,+91-8735332087
Assam,Guwahati,Domestic Violence,Elder Help NGO - Guwahati 4,Elder Help NGO,+91-7422367838
Uttar Pradesh,Lucknow,Cyber Crime,Legal Aid NGO - Lucknow 71,Legal Aid NGO,+91-8197341999
Delhi,New Delhi,Cyber Crime,Women's Helpline - New Delhi 60,Women's Helpline,+91-9288130976
Chhattisgarh,Raipur,Child Abuse,Legal Aid NGO - Raipur 55,Legal Aid NGO,+91-7113184323
Karnataka,Mangalore,Dowry,Cyber Helpline - Mangalore 51,Cyber Helpline,+91-7075237910
Kerala,Thiruvananthapuram,Dowry,Legal Clinic - Thiruvananthapuram 42,Legal Clinic,+91-9187631858
Jammu & Kashmir,Srinagar,Senior Citizen Abuse,District Legal Services Authority - Srinagar 35,District Legal Services Authority,+91-7387101773
Uttar Pradesh,Varanasi,Child Abuse,Legal Aid NGO - Varanasi 85,Legal Aid NGO,+91-9265748873
Tamil Nadu,Chennai,Cyber Crime,Elder Help NGO - Chennai 86,Elder Help NGO,+91-7888327265
Karnataka,Mysore,Senior Citizen Abuse,Elder Help NGO - Mysore 96,Elder Help NGO,+91-8338802850
Gujarat,Surat,Child Abuse,Legal Aid NGO - Surat 48,Legal Aid NGO,+91-9581351964
Madhya Pradesh,Indore,Dowry,Childline - Indore 53,Childline,+91-7160655845
Assam,Dibrugarh,Dowry,Childline - Dibrugarh 98,Childline,+91-8083985759
Kerala,Kochi,Property Dispute,Legal Aid NGO - Kochi 98,Legal Aid NGO,+91-9622269684
Haryana,Faridabad,Property Dispute,Legal Aid NGO - Faridabad 22,Legal Aid NGO,+91-7159012520
Chhattisgarh,Durg,Child Abuse,Cyber Helpline - Durg 69,Cyber Helpline,+91-9214387087
Haryana,Faridabad,Sexual Harassment,Childline - Faridabad 14,Childline,+91-8025116622
Assam,Guwahati,Caste Discrimination,Childline - Guwahati 33,Childline,+91-7305653153
West Bengal,Howrah,Dowry,Childline - Howrah 1,Childline,+91-9996724549
Chhattisgarh,Raipur,Senior Citizen Abuse,Women's Helpline - Raipur 13,Women's Helpline,+91-7609014936
Uttar Pradesh,Lucknow,Child Abuse,Cyber Helpline - Lucknow 76,Cyber Helpline,+91-8408002850
West Bengal,Kolkata,Child Abuse,Childline - Kolkata 19,Childline,+91-9784311115
Jharkhand,Dhanbad,Child Abuse,Cyber Helpline - Dhanbad 51,Cyber Helpline,+91-8002443417
Chhattisgarh,Raipur,Senior Citizen Abuse,Women's Helpline - Raipur 17,Women's Helpline,+91-9054458518
Telangana,Nizamabad,Dowry,Cyber Helpline - Nizamabad 72,Cyber Helpline,+91-7758325762
Chhattisgarh,Raipur,Child Abuse,District Legal Services Authority - Raipur 93,District Legal Services Authority,+91-9273370815
Kerala,Kozhikode,Property Dispute,Cyber Helpline - Kozhikode 29,Cyber Helpline,+91-8438759916
Telangana,Hyderabad,Property Dispute,Legal Aid NGO - Hyderabad 27,Legal Aid NGO,+91-8858044763
Haryana,Gurgaon,Property Dispute,Women's Helpline - Gurgaon 24,Women's Helpline,+91-8426624238
West Bengal,Howrah,Caste Discrimination,Legal Clinic - Howrah 74,Legal Clinic,+91-9625576186
Jharkhand,Jamshedpur,Cyber Crime,Legal Aid NGO - Jamshedpur 69,Legal Aid NGO,+91-8254997825
Jammu & Kashmir,Srinagar,Child Abuse,Women's Helpline - Srinagar 74,Women's Helpline,+91-8492528870
Maharashtra,Nagpur,Dowry,District Legal Services Authority - Nagpur 60,District Legal Services Authority,+91-9725951637
Maharashtra,Nagpur,Domestic Violence,Women's Helpline - Nagpur 72,Women's Helpline,+91-9486633219
Jammu & Kashmir,Srinagar,Cyber Crime,Legal Clinic - Srinagar 5,Legal Clinic,+91-9901840399
Jharkhand,Ranchi,Domestic Violence,Legal Clinic - Ranchi 67,Legal Clinic,+91-7966588042
Andhra Pradesh,Visakhapatnam,Cyber Crime,Cyber Helpline - Visakhapatnam 43,Cyber Helpline,+91-7446907778
Jammu & Kashmir,Srinagar,Caste Discrimination,Childline - Srinagar 56,Childline,+91-9678149529
Madhya Pradesh,Bhopal,Dowry,Elder Help NGO - Bhopal 46,Elder Help NGO,+91-9093021519
Haryana,Panipat,Child Abuse,Elder Help NGO - Panipat 80,Elder Help NGO,+91-7089454091
Delhi,New Delhi,Sexual Harassment,Women's Helpline - New Delhi 17,Women's Helpline,+91-9298325581
Odisha,Bhubaneswar,Caste Discrimination,District Legal Services Authority - Bhubaneswar 60,District Legal Services Authority,+91-7127368741
Karnataka,Mysore,Caste Discrimination,Cyber Helpline - Mysore 45,Cyber Helpline,+91-8377418901
Madhya Pradesh,Jabalpur,Sexual Harassment,Legal Clinic - Jabalpur 49,Legal Clinic,+91-9249278234
Odisha,Bhubaneswar,Cyber Crime,Elder Help NGO - Bhubaneswar 9,Elder Help NGO,+91-9346787734
Maharashtra,Nagpur,Caste Discrimination,Cyber Helpline - Nagpur 48,Cyber Helpline,+91-9242509135
Kerala,Kozhikode,Dowry,Women's Helpline - Kozhikode 58,Women's Helpline,+91-9547365807
Jammu & Kashmir,Srinagar,Domestic Violence,Cyber Helpline - Srinagar 82,Cyber Helpline,+91-7500198497
Delhi,New Delhi,Sexual Harassment,District Legal Services Authority - New Delhi 93,District Legal Services Authority,+91-8923210131
Madhya Pradesh,Bhopal,Sexual Harassment,District Legal Services Authority - Bhopal 87,District Legal Services Authority,+91-8839940490
Uttar Pradesh,Varanasi,Domestic Violence,Cyber Helpline - Varanasi 15,Cyber Helpline,+91-9823195398
Assam,Dibrugarh,Domestic Violence,Childline - Dibrugarh 57,Childline,+91-9786059722
Odisha,Cuttack,Property Dispute,Cyber Helpline - Cuttack 97,Cyber Helpline,+91-8574173020
Haryana,Gurgaon,Caste Discrimination,Women's Helpline - Gurgaon 23,Women's Helpline,+91-9158023862
Haryana,Faridabad,Sexual Harassment,Cyber Helpline - Faridabad 79,Cyber Helpline,+91-7574575188
Delhi,New Delhi,Senior Citizen Abuse,Legal Aid NGO - New Delhi 97,Legal Aid NGO,+91-9681798469
